İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus,Bina_Yasi_Sayi,Oda_Sayi_Num,Aykiri_Fiyat,mahalle_lat,mahalle_lon,rayli_mesafe_km,mesafe_band
1213,12 Ocak 2022,Satılık,121,0 (Yeni),24,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,84,2+1,11. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3820000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1231,03 Şubat 2022,Satılık,68,5-10,5,Boş,Bilinmiyor,Var,1,12 Ocak 2022,Konut,58,1+1,Yüksek Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,695000,İstanbul,Maltepe,Altayçeşme Mahallesi,Anadolu Yakası,0.161,525.566,7,2.0,0,40.9278843,29.131346,0.611302586252198,500m-1km
1234,04 Şubat 2022,Satılık,95,4,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,80,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1150000,İstanbul,Maltepe,Feyzullah Mahallesi,Anadolu Yakası,0.161,525.566,4,3.0,0,40.9248017,29.1291275,0.4710816623716278,0-500m
1230,06 Şubat 2022,Satılık,70,5-10,6,Boş,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,60,1+1,Kot 2 (-2). Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,390000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,7,2.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1246,10 Şubat 2022,Satılık,138,5-10,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,13 Ocak 2022,Konut,120,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2950000,İstanbul,Maltepe,Küçükyalı Mahallesi,Anadolu Yakası,0.161,525.566,7,4.0,0,40.946258,29.1071674,0.029042933908829355,0-500m
1245,10 Şubat 2022,Satılık,90,3,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,13 Ocak 2022,Konut,80,2+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1550000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,3,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1173,12 Ocak 2022,Satılık,130,3,4,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,105,3+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2650000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,3,4.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
1116,11 Ocak 2022,Satılık,82,0 (Yeni),5,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,65,2+1,5. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1350000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1172,12 Ocak 2022,Satılık,95,2,5,Boş,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,70,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1950000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,2,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1171,12 Ocak 2022,Satılık,135,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,120,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1450000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,25,4.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1174,12 Ocak 2022,Satılık,190,4,4,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,170,4+2,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2750000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,4,6.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1175,12 Ocak 2022,Satılık,180,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,150,4+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1775000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,25,5.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
